(written by ASE)

80 atoms
3 atom types

0.0      8.1567589900000002  xlo xhi
0.0      12.533686489999999  ylo yhi
0.0      49.019105760000002  zlo zhi
             1.35945983                       0                       0  xy xz yz
Masses

1 101.07   # Ru
2 14.01    # N
3 1.008    # H

Atoms # atomic

1 1 1.35946 5.89787 20 
2 1 2.71892 11.7961 20.1346 
3 1 2.71892 3.68607 20.8077 
4 1 1.35946 9.58428 20.9423
25 1 4.07838 5.89787 20 
26 1 5.43784 11.7961 20.1346
27 1 5.43784 3.68607 20.8077
28 1 4.07838 9.58428 20.9423
49 1 6.7973 5.89787 20
50 1 8.15676 11.7961 20.1346
51 1 8.15676 3.68607 20.8077
52 1 6.7973 9.58428 20.9423
5 1 1.35946 1.47427 21.6154
6 1 2.71892 7.37248 21.75
7 1 1.35946 11.7962 22.423
8 1 1.35946 5.16069 22.5577
9 1 2.71892 9.58437 23.2307
10 1 2.71892 2.94889 23.3653
11 1 1.35946 7.37257 24.0384
12 1 1.35946 0.73709 24.173
13 1 2.72811 5.10109 24.9097
14 1 1.36605 10.9918 25.1195
15 1 1.36039 2.92411 25.7996
16 1 2.73083 8.79411 25.943
17 1 2.71918 0.630902 26.5769
18 1 1.35896 6.52919 26.6165
19 1 2.73474 10.9355 27.5217
20 1 2.71059 4.30791 27.6404
21 1 1.35757 8.72343 28.1743
29 1 4.07838 1.47427 21.6154
30 1 5.43784 7.37248 21.75
31 1 4.07838 11.7962 22.423
32 1 4.07838 5.16069 22.5577
33 1 5.43784 9.58437 23.2307
34 1 5.43784 2.94889 23.3653
35 1 4.07838 7.37257 24.0384
36 1 4.07838 0.73709 24.173
37 1 5.43548 5.08354 24.9005
38 1 4.07676 11.0015 25.1301
39 1 4.07667 2.92952 25.826
40 1 5.43384 8.79774 25.9556
41 1 5.44375 0.675263 26.498
42 1 4.11947 6.53095 26.6628
43 1 5.42107 10.9562 27.5242
44 1 5.42904 4.31867 27.7009
45 1 4.08967 8.73725 28.2149
53 1 6.7973 1.47427 21.6154
54 1 8.15676 7.37248 21.75
55 1 6.7973 11.7962 22.423
56 1 6.7973 5.16069 22.5577
57 1 8.15676 9.58437 23.2307
58 1 8.15676 2.94889 23.3653
59 1 6.7973 7.37257 24.0384
60 1 6.7973 0.73709 24.173
61 1 8.14476 5.09583 24.9133
62 1 6.78886 10.9928 25.1303
63 1 6.79131 2.95196 25.8557
64 1 8.14643 8.7861 25.9245
65 1 8.14777 0.669754 26.4941
66 1 6.75145 6.53219 26.6629
67 1 8.15794 10.9218 27.4733
68 1 8.16631 4.31885 27.6495
69 1 6.78484 8.73998 28.1978
22 1 1.35195 2.06034 28.2781
23 1 2.73418 6.57634 28.8238
24 1 9.50504 12.5048 29.0038
46 1 4.08524 2.0646 28.2922
47 1 5.43986 6.57271 28.979
48 1 2.71888 -0.00628855 29.157
70 1 6.79145 2.09034 28.3011
71 1 8.13818 6.5854 28.8275
72 1 6.80561 12.5083 29.0134
73 2 4.06439 12.4472 31.2463
74 3 3.11608 12.2678 31.5797
75 3 3.02177 0.803816 31.627
76 3 4.68827 11.7173 31.5901
77 2 5.4633 6.33494 31.0629 
78 3 4.56227 5.9922 31.3989 
79 3 5.64775 7.23827 31.4975 
80 3 6.20058 5.68935 31.3495 

